"地域別等","漁業経営体数経営体","漁船_計_隻","漁船_無動力_隻漁船隻数隻","漁船_船外機付漁船隻数＿隻","漁船_動力漁船隻数_隻","漁船_動力漁船_トン数_T","11月１日現在の海上作業従事者_計_人","11月１日現在の海上作業従事者_家族_小計_人","11月１日現在の海上作業従事者_家族_男_人","11月１日現在の海上作業従事者_家族_女_人","11月１日現在の海上作業従事者_雇用者_人","陸上作業最盛期の陸上作業従事者数_計_人","陸上作業最盛期の陸上作業従事者数_計_男_人","陸上作業最盛期の陸上作業従事者数_計_女_人","陸上作業最盛期の陸上作業従事者数_家族_小計_人","陸上作業最盛期の陸上作業従事者数_家族_男_人","陸上作業最盛期の陸上作業従事者数_家族_女_人","陸上作業最盛期の陸上作業従事者数_雇用者_小計_人","陸上作業最盛期の陸上作業従事者数_雇用者_男_人","陸上作業最盛期の陸上作業従事者数_雇用者_女_人","新規就業者_計_人","新規就業者_個人経営体の自営漁業のみ_人","新規就業者_個人経営体の自営漁業のみ_うち11月１日現在の海上作業従事者_人","新規就業者_漁業雇われ_人"
"和歌山県（瀬戸内海区）_湯浅町_田村","13.0","22.0","1.0","7.0","14.0","122.0","20.0","5.0","5.0"," -","15.0","27.0","11.0","16.0","19.0","9.0","10.0","8.0","2.0","6.0"," -"," -"," -"," -"
"和歌山県（瀬戸内海区）_湯浅町_栖原","10.0","25.0"," -","1.0","24.0","179.5","33.0","13.0","13.0"," -","20.0","23.0","19.0","4.0","20.0","19.0","1.0","3.0"," -","3.0"," -"," -"," -"," -"
"和歌山県（瀬戸内海区）_湯浅町_湯浅中央","26.0","38.0","1.0"," -","37.0","229.0","40.0","26.0","26.0"," -","14.0","63.0","43.0","20.0","48.0","31.0","17.0","15.0","12.0","3.0","1.0","1.0","1.0"," -"
"和歌山県（瀬戸内海区）_広川町","33.0","53.0"," -","7.0","46.0","248.3","50.0","41.0","41.0"," -","9.0","48.0","41.0","7.0","47.0","40.0","7.0","1.0","1.0"," -"," -"," -"," -"," -"
"和歌山県（瀬戸内海区）_広川町_唐尾","33.0","53.0"," -","7.0","46.0","248.3","50.0","41.0","41.0"," -","9.0","48.0","41.0","7.0","47.0","40.0","7.0","1.0","1.0"," -"," -"," -"," -"," -"
"和歌山県（瀬戸内海区）_日高町","75.0","126.0"," -","42.0","84.0","395.3","127.0","63.0","59.0","4.0","64.0","153.0","94.0","59.0","121.0","77.0","44.0","32.0","17.0","15.0","1.0","1.0","1.0"," -"
"和歌山県（瀬戸内海区）_日高町_比井崎","75.0","126.0"," -","42.0","84.0","395.3","127.0","63.0","59.0","4.0","64.0","153.0","94.0","59.0","121.0","77.0","44.0","32.0","17.0","15.0","1.0","1.0","1.0"," -"
"和歌山県（瀬戸内海区）_由良町","104.0","151.0"," -","34.0","117.0","503.5","88.0","65.0","63.0","2.0","23.0","139.0","127.0","12.0","118.0","108.0","10.0","21.0","19.0","2.0","1.0"," -"," -","1.0"
"和歌山県（瀬戸内海区）_由良町_衣奈浦","30.0","47.0"," -","15.0","32.0","151.0","28.0","23.0","21.0","2.0","5.0","39.0","31.0","8.0","32.0","26.0","6.0","7.0","5.0","2.0","1.0"," -"," -","1.0"
"和歌山県（瀬戸内海区）_由良町_小引浦","19.0","21.0"," -","1.0","20.0","88.3","7.0","6.0","6.0"," -","1.0","28.0","25.0","3.0","26.0","23.0","3.0","2.0","2.0"," -"," -"," -"," -"," -"
"和歌山県（瀬戸内海区）_由良町_大引","24.0","45.0"," -","11.0","34.0","128.9","17.0","11.0","11.0"," -","6.0","28.0","28.0"," -","27.0","27.0"," -","1.0","1.0"," -"," -"," -"," -"," -"
"和歌山県（瀬戸内海区）_由良町_神谷","19.0","23.0"," -","3.0","20.0","99.8","26.0","15.0","15.0"," -","11.0","32.0","31.0","1.0","21.0","20.0","1.0","11.0","11.0"," -"," -"," -"," -"," -"
"和歌山県（瀬戸内海区）_由良町_由良浦","12.0","15.0"," -","4.0","11.0","35.5","10.0","10.0","10.0"," -"," -","12.0","12.0"," -","12.0","12.0"," -"," -"," -"," -"," -"," -"," -"," -"
"和歌山県（太平洋南区）","1281.0","1841.0","32.0","503.0","1306.0","6222.0","1680.0","1034.0","1006.0","28.0","646.0","2463.0","1772.0","691.0","1721.0","1248.0","473.0","742.0","524.0","218.0","6.0","2.0","2.0","4.0"
"和歌山県（太平洋南区）_御坊市","109.0","146.0"," -","41.0","105.0","487.1","125.0","88.0","83.0","5.0","37.0","215.0","130.0","85.0","141.0","78.0","63.0","74.0","52.0","22.0"," -"," -"," -"," -"
"和歌山県（太平洋南区）_御坊市","109.0","146.0"," -","41.0","105.0","487.1","125.0","88.0","83.0","5.0","37.0","215.0","130.0","85.0","141.0","78.0","63.0","74.0","52.0","22.0"," -"," -"," -"," -"
"和歌山県（太平洋南区）_田辺市","164.0","279.0","10.0","80.0","189.0","998.7","342.0","109.0","105.0","4.0","233.0","407.0","336.0","71.0","189.0","154.0","35.0","218.0","182.0","36.0"," -"," -"," -"," -"
"和歌山県（太平洋南区）_田辺市_田辺","77.0","144.0"," -","30.0","114.0","757.2","205.0","46.0","46.0"," -","159.0","253.0","203.0","50.0","98.0","75.0","23.0","155.0","128.0","27.0"," -"," -"," -"," -"
"和歌山県（太平洋南区）_田辺市_湊浦","8.0","42.0","8.0","1.0","33.0","140.9","41.0","4.0","4.0"," -","37.0","34.0","33.0","1.0","7.0","6.0","1.0","27.0","27.0"," -"," -"," -"," -"," -"
"和歌山県（太平洋南区）_田辺市_新庄","79.0","93.0","2.0","49.0","42.0","100.6","96.0","59.0","55.0","4.0","37.0","120.0","100.0","20.0","84.0","73.0","11.0","36.0","27.0","9.0"," -"," -"," -"," -"
